x	y	showSelected1
2.5	4.33215145067372	0
1.88653512581471	2.37833867246974	1
1.832090543615	2.35830623370561	2
1.81228448795687	2.35554084708706	3
1.80407422733454	2.35505808426532	4
1.80050851284954	2.35496642357497	5
1.79892996946821	2.3549484077534	6
1.79822532872176	2.35494481331345	7
1.79790963140844	2.35494409139976	8
1.79776795936808	2.3549439459802	9
1.79770433617332	2.35494391664863	10
1.79767575437759	2.35494391072884	11
1.7976629125263	2.35494390953378	12
1.79765714227734	2.35494390929249	13
1.7976545494452	2.35494390924377	14
1.79765338435362	2.35494390923394	15
1.79765286081547	2.35494390923195	16
1.79765262556106	2.35494390923155	17
1.79765251984821	2.35494390923147	18
1.79765247234555	2.35494390923145	19
1.79765245099995	2.35494390923145	20
